,Topics,Alpha,Beta,Auto Coherence Umass,Intra/Inter Similarity word2vec10 1st version,Intra/Inter Similarity word2vec20 1st version,Intra/Inter Similarity word2vecGoogle 1st version,Intra/Inter Similarity word2vec10 2nd version,Intra/Inter Similarity word2vec20 2nd version,Intra/Inter Similarity word2vecGoogle 2nd version,NumberOfWordsNotInGoogleW2v,Topic Distance JS,Auto Coherence without pretrained,Auto Coherence with word2vec10,Auto Coherence with word2vec20,Auto Coherence with word2vecGoogle
0,16,0.01,0.01,-2.7041282509378544,1.218417455148152,1.21240089237251,0.7227153983256126,1.1013737500685843,1.0953615912572987,1.008431678234957,"(0, 230)",0.7856613877326772,0.73144376,0.506866,0.4888106,0.60897803
1,16,0.01,0.31,-2.604525385274364,1.1983382654084167,1.1927025210372206,0.7177301322038857,1.097292288906823,1.0916423338071737,1.0075818211411602,"(0, 214)",0.7765790401073581,0.7317133,0.5026375,0.48482683,0.60223824
2,16,0.01,0.61,-2.5580490915950973,1.2045143727247307,1.1970057782617745,0.7214807104815988,1.099346100449792,1.093183424558997,1.0078735855985912,"(0, 217)",0.775596027181903,0.7360891,0.5059326,0.48740852,0.6072142
3,16,0.01,symmetric,-2.6772001101278464,1.2070110673632168,1.2030860136900836,0.7160352055011164,1.1004491921934203,1.094700155589551,1.0070738968444963,"(0, 232)",0.7830609914315263,0.73773646,0.5052054,0.48759684,0.60028744
4,16,0.31,0.01,-2.723212450220593,1.242661093259956,1.2347173487554362,0.7179119942279198,1.107526989818015,1.1015668430360264,1.007297640959339,"(0, 240)",0.79670054359233,0.7390144,0.5149604,0.4987898,0.6059589
5,16,0.31,0.31,-2.7170416163074083,1.2380450487297443,1.230224504398452,0.7159946040642421,1.1047574176413797,1.0987220818842311,1.0077621343773115,"(0, 240)",0.7927543295911129,0.73450714,0.50704396,0.4905346,0.6011375
6,16,0.31,0.61,-2.681552029872124,1.2279540370507722,1.2199246785534177,0.7204890377124264,1.1035858499785625,1.097429711507926,1.008382171545644,"(0, 234)",0.790009996073086,0.73606515,0.5101528,0.4926542,0.60593057
7,16,0.31,symmetric,-2.6972038936325897,1.2255560532638117,1.2195416896693894,0.7183079345658885,1.1027808082149066,1.0971547266676218,1.0078335623523824,"(0, 242)",0.7972727121818128,0.73784757,0.50753576,0.49138194,0.6055424
8,16,0.61,0.01,-2.781117590099928,1.2478240113977987,1.2439673885028613,0.7204843717878158,1.1104664447935828,1.1053429911553132,1.007025345244576,"(0, 273)",0.8104379952558435,0.74600685,0.51950634,0.50497913,0.61364794
9,16,0.61,0.31,-2.7900430122312696,1.2309158083149787,1.228742591917699,0.7203656424168036,1.105202821470215,1.1000423159579458,1.0072510088215365,"(0, 265)",0.808561094358194,0.7352822,0.5077084,0.49243504,0.6115353
10,16,0.61,0.61,-2.787515763246607,1.2454234773207165,1.2402970568287155,0.7221015950830211,1.112051536297443,1.1065524294390157,1.0072766039622256,"(0, 262)",0.8081597218890443,0.7422428,0.5253242,0.50981605,0.6160977
11,16,0.61,symmetric,-2.734215778324085,1.2448310965847444,1.2424230870183404,0.7186526810067717,1.108775738586271,1.104072325510557,1.006808260082654,"(0, 270)",0.809969049391625,0.7459588,0.5158365,0.50183725,0.610257
12,16,symmetric,0.01,-2.619378588740406,1.213025458751278,1.2088455461826662,0.7171143399540102,1.0995325883598202,1.093972456672425,1.0074624127466636,"(0, 225)",0.7849219311196672,0.73670465,0.5024947,0.48553008,0.60127354
13,16,symmetric,0.31,-2.569103647026947,1.1855993790285126,1.1825079918257433,0.7139705132445997,1.092908629855702,1.0879516191584002,1.0070060024368397,"(0, 217)",0.7735731065759217,0.73437387,0.49106252,0.4749174,0.59833777
14,16,symmetric,0.61,-2.6344512325174296,1.192395455004883,1.1878122812466447,0.7176991601812116,1.094653885241897,1.0890053649913036,1.0076296709660213,"(0, 224)",0.7768006486266894,0.73187184,0.49528432,0.47757712,0.6029732
15,16,symmetric,symmetric,-2.61169327241802,1.2201016030269036,1.2138980102893382,0.715628273081665,1.1011162742420224,1.0951784584067774,1.0075638238198517,"(0, 224)",0.7862868911874706,0.73603785,0.5057767,0.48841605,0.600085
16,16,asymmetric,0.01,-2.769912733734616,1.217613570426423,1.2104856814945943,0.716912281878152,1.101997702438427,1.09640296023244,1.0072844906633134,"(0, 236)",0.7863320360375343,0.73818684,0.5078144,0.4910487,0.5997725
17,16,asymmetric,0.31,-2.60479427545684,1.18865259802793,1.183898430032187,0.7155859731053721,1.0947505429041782,1.0893734846403549,1.0066888415064164,"(0, 222)",0.7770721343273271,0.7342261,0.4957778,0.47846478,0.6007316
18,16,asymmetric,0.61,-2.5350936384632616,1.190858645563419,1.1846491115838995,0.7208576565862428,1.0955403768086214,1.089843476006359,1.0078071616567206,"(0, 214)",0.7768332365489141,0.7372599,0.49915424,0.48134282,0.6058287
19,16,asymmetric,symmetric,-2.7030739190862536,1.2080867859343534,1.200643600069258,0.7186449601716836,1.0999957673826963,1.0939926916970268,1.0080605198937589,"(0, 235)",0.7881717544018239,0.73893195,0.5047902,0.4868226,0.59922945
20,18,0.01,0.01,-2.920951512641765,1.2076615586465682,1.1992804992444228,0.7204315854892903,1.0973794191050943,1.0915569074641684,1.007952603425558,"(5, 260)",0.7899817500388873,0.7258788,0.49787796,0.48129687,0.608937
21,18,0.01,0.31,-2.8342342388326616,1.182493268907279,1.17735706071104,0.7220280136359303,1.0954168593319702,1.0902869185351285,1.0080927366757355,"(5, 240)",0.7780580036197673,0.73446363,0.49925607,0.48302105,0.61203384
22,18,0.01,0.61,-2.614563865987913,1.2014051999846127,1.1982126930231094,0.7162279702649169,1.0991479977658642,1.09413283817267,1.0063894942036578,"(0, 239)",0.7785771764124704,0.73461384,0.50562185,0.48961177,0.60589063
23,18,0.01,symmetric,-2.729769357749505,1.2053820652283511,1.199894841820438,0.7247787133256598,1.1001144556758982,1.0945322250037357,1.0086078404765475,"(0, 258)",0.7897991722164988,0.7359675,0.50687873,0.48968104,0.61249727
24,18,0.31,0.01,-2.835293640181036,1.2392586147593967,1.23074834929122,0.7247202668489696,1.1055725252016522,1.0997123584330712,1.0086020849825503,"(0, 288)",0.802782463130874,0.7313053,0.5091758,0.4937347,0.6149685
25,18,0.31,0.31,-2.7674740899139563,1.2406951137069344,1.233101986453173,0.7234049038674425,1.107201065504874,1.1010392905142146,1.0088808726488725,"(0, 278)",0.7968361625872555,0.73521864,0.5137078,0.49707282,0.610418
26,18,0.31,0.61,-2.7913399617256456,1.235248218115529,1.2278927813016016,0.7233310946753896,1.1052385933504691,1.0991763685266542,1.009114610030975,"(0, 273)",0.7955926430697857,0.7327352,0.509924,0.49336448,0.60992634
27,18,0.31,symmetric,-2.918927641339159,1.220073215629964,1.2115639096871869,0.7224490519761532,1.1010956720788945,1.0947003441692698,1.0084084222880827,"(0, 278)",0.8020164879435339,0.7291897,0.50125515,0.48383045,0.6087558
28,18,0.61,0.01,-2.847869913631095,1.2531269375697855,1.2473079894818535,0.7211149643282213,1.1102768596819943,1.1048082196906028,1.007455790031406,"(0, 302)",0.8133503850621219,0.7429378,0.51706284,0.5020938,0.61116576
29,18,0.61,0.31,-2.886332191727423,1.2500991614452237,1.2444868125941535,0.7205709426556017,1.1101088403942811,1.1045681207730258,1.007536753242955,"(0, 304)",0.8105156744340392,0.73893756,0.51632094,0.50138384,0.61122143
30,18,0.61,0.61,-2.942758153072629,1.224271357343537,1.2222842822003817,0.7192734037231161,1.102877063391616,1.0982736535574478,1.0073036385009366,"(0, 309)",0.8148601060808799,0.7313226,0.5014099,0.48835054,0.6098783
31,18,0.61,symmetric,-3.117154894588741,1.21840105696321,1.2142143593931207,0.7176599408741894,1.1005687939212547,1.0955894425943755,1.0069571864796456,"(4, 306)",0.8178538929075352,0.726206,0.49378216,0.4801127,0.6076596
32,18,symmetric,0.01,-3.1749447524372605,1.176509233708258,1.1703869704420176,0.7173869667909363,1.0910224907271582,1.0858253663833073,1.007235366000491,"(5, 254)",0.7907580748229311,0.72076917,0.4877222,0.47143692,0.6076994
33,18,symmetric,0.31,-2.661470528958147,1.1991559658299775,1.194964825592895,0.7211195640064321,1.097526940863948,1.0920722107929,1.0075408568399058,"(0, 248)",0.7813782617026188,0.73378885,0.5003884,0.48357418,0.61007655
34,18,symmetric,0.61,-3.1551680705727936,1.1882620979599845,1.1788443734934693,0.7171032451827816,1.0960172108170412,1.0898175494129985,1.008122046610203,"(5, 253)",0.7812867026700643,0.72391176,0.49992692,0.48149505,0.6021644
